"","stock","Period","log_alpha"
"1","Haddock Icelandic","Pre 1993",0.618311535946076
"2","Haddock Icelandic","Recent",1.78872754489615
"3","Cod Icelandic","Pre 1993",0.572620485753127
"4","Cod Icelandic","Recent",0.461115258454131
"5","Haddock  Faroese","Pre 1993",0.789255068379354
"6","Haddock  Faroese","Recent",0.409355146786303
"7","Cod Faroese","Pre 1993",0.16362972000224
"8","Cod Faroese","Recent",-0.377439746291619
"9","Haddock Barents Sea","Pre 1993",1.02356815472499
"10","Haddock Barents Sea","Recent",1.84225284581846
"11","Cod Barents Sea","Pre 1993",1.24704371552772
"12","Cod Barents Sea","Recent",1.05881112224033
"13","Haddock Irish Sea","Recent",5.09319072834019
"14","Cod Irish Sea","Pre 1993",0.354830749262196
"15","Cod Irish Sea","Recent",-0.370866269601407
"16","Haddock North Sea","Pre 1993",6.0646018164414
"17","Haddock North Sea","Recent",4.75259534064369
"18","Cod North Sea","Pre 1993",2.66723521546742
"19","Cod North Sea","Recent",2.13926377563979
"20","Haddock Eastern Scotian Shelf","Pre 1993",1.2099413010605
"21","Haddock Eastern Scotian Shelf","Recent",-0.493590741604001
"22","Cod Eastern Scotian Shelf","Pre 1993",1.17989882881737
"23","Cod Eastern Scotian Shelf","Recent",3.08751795561259
"24","Haddock Western Scotian Shelf","Pre 1993",-0.0258018809765834
"25","Haddock Western Scotian Shelf","Recent",13.9420576132144
"26","Cod Western Scotian Shelf","Pre 1993",-0.270562278767242
"27","Cod Western Scotian Shelf","Recent",-0.55227232130662
"28","Haddock Eastern Georges Bank","Pre 1993",0.829018496262806
"29","Haddock Eastern Georges Bank","Recent",-0.391548607490119
"30","Cod Eastern Georges Bank","Pre 1993",-0.0203576022706513
"31","Cod Eastern Georges Bank","Recent",-0.743523023123947
