"","Location","Period","alpha.had","LCI.had","UCI.had","alpha.cod","LCI.cod","UCI.cod"
"1","Iceland","Recent",0.051305029403287,-0.878988294318897,0.981598353125472,1.39156838584715,1.15843607882198,1.62470069287233
"2","Faroese","Recent",-0.230540168696124,-0.96476938007061,0.503689042678362,0.228075240812588,-0.396823623818065,0.852974105443241
"3","Barents Sea","Recent",0.853582013892349,0.227886953764639,1.47927707402006,1.67055401028793,1.33602170885765,2.0050863117182
"4","North Sea","Recent",0.245175200251181,-0.668306798359802,1.15865719886217,1.91686751804886,1.04133323045698,2.79240180564074
"5","Eastern Scotian Shelf","Recent",-1.03311100737527,-2.80964307865292,0.743421063902384,-0.384448301415045,-0.932564870508803,0.163668267678712
"6","Western Scotian Shelf","Recent",1.77776809677643,0.575176267438431,2.98035992611443,-1.25697163117092,-1.70426224760459,-0.809681014737247
"7","Eastern Georges Bank","Recent",-0.55244348999044,-1.85193948706089,0.747052507080011,-0.574006015125911,-1.36854400004561,0.220531969793783
"8","Iceland","Pre 1993",0.299534405477906,-1.16561643257611,1.76468524353192,1.46585305857177,1.24051571685042,1.69119040029312
"9","Faroese","Pre 1993",1.42826224797047,0.124376521507079,2.73214797443386,0.828063763062855,0.304698840599568,1.35142868552614
"10","Barents Sea","Pre 1993",0.122446545266955,-0.66562607208945,0.91051916262336,1.66712189889032,1.27250027482602,2.06174352295461
"11","North Sea","Pre 1993",0.14866749469894,-0.832052955564208,1.12938794496209,2.54214183543558,1.99497064694496,3.08931302392619
"12","Eastern Scotian Shelf","Pre 1993",0.0450861845863928,-0.634011736032931,0.724184105205717,1.47110917157431,0.766655847378405,2.17556249577021
"13","Western Scotian Shelf","Pre 1993",0.137864216684285,-1.42910182021704,1.70483025358561,-0.316557087698207,-2.09284721796278,1.45973304256637
"14","Eastern Georges Bank","Pre 1993",0.0117399557852214,-1.10856800830919,1.13204791987963,0.529594978715844,-0.993455167990141,2.05264512542183
